modelo,versao_modelo,data_geracao,modo_resultado,epi_year_origem,epi_week_origem,semana_origem,target_epi_year,target_epi_week,semana_alvo,horizonte_semanas,bairro_norm,populacao,casos_observados_recentes_4s,incidencia_recente_4s_100k,categoria_recente_observada,categoria_prevista,confianca_modelo,prob_baixo,prob_medio,prob_alto,prob_critico,casos_observados_alvo_4s,incidencia_observada_alvo_4s_100k,categoria_observada_alvo,previsao_correta,status_avaliacao,data_avaliacao
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,JIQUIA,12051,0,0.0,Baixo,Baixo,0.9998424464850976,0.9998424464850976,0.000133300540287,1.976351895308164e-05,4.489455662438025e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,JORDAO,20449,2,9.780429360848942,Baixo,Baixo,0.9999025022608226,0.9999025022608226,8.753108840028892e-05,7.946538185105203e-06,2.0201125920188214e-06,2.0,9.780429360848942,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,LINHA DO TIRO,14202,1,7.041261794113504,Baixo,Baixo,0.9998550216147768,0.9998550216147768,0.0001283082648967,1.3506346208119748e-05,3.163774118369033e-06,2.0,14.082523588227009,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,MACAXEIRA,20126,2,9.93739441518434,Baixo,Baixo,0.999761901882834,0.999761901882834,0.0002137514432205,1.9980214795452185e-05,4.366459150108581e-06,2.0,9.93739441518434,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,MADALENA,25832,0,0.0,Baixo,Baixo,0.999896394416008,0.999896394416008,8.820318068239248e-05,1.236346709191507e-05,3.0389362177834384e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,MANGABEIRA,6397,0,0.0,Baixo,Baixo,0.9997637966448026,0.9997637966448026,0.0001956727375,3.2133994271291003e-05,8.396623426030979e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,MANGUEIRA,7664,0,0.0,Baixo,Baixo,0.9997889812424712,0.9997889812424712,0.0001697687327658,3.342055198805649e-05,7.829472775047815e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,MONTEIRO,6738,0,0.0,Baixo,Baixo,0.9997192282726676,0.9997192282726676,0.0002370770150402,3.519560141004641e-05,8.499110882200798e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,MORRO DA CONCEICAO,8217,1,12.169891687963975,Baixo,Baixo,0.9991939853972696,0.9991939853972696,0.0007160853847184,7.656878151609744e-05,1.3360436495950352e-05,1.0,12.169891687963975,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,MUSTARDINHA,10642,0,0.0,Baixo,Baixo,0.9998590656414228,0.9998590656414228,0.0001181421723551,1.844318231840619e-05,4.349003903746477e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,NOVA DESCOBERTA,28697,0,0.0,Baixo,Baixo,0.9998229636386544,0.9998229636386544,0.000163869556995,9.96977199125251e-06,3.197032359178597e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,PAISSANDU,568,0,0.0,Baixo,Baixo,0.9973324852356574,0.9973324852356574,0.0021771353891608,0.0004051506821936,8.522869298804278e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,PARNAMIRIM,6954,0,0.0,Baixo,Baixo,0.9997600484978616,0.9997600484978616,0.0002039027807774,2.806120271901336e-05,7.987518642006397e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,PASSARINHO,24306,2,8.228420966016621,Baixo,Baixo,0.9997445322227496,0.9997445322227496,0.000231287964729,1.9760206892905887e-05,4.419605628468036e-06,3.0,12.342631449024932,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,PAU FERRO,89,0,0.0,Baixo,Baixo,0.998048233598006,0.998048233598006,0.0015378662648154,0.0002995313985655,0.000114368738613,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,PEIXINHOS,2915,0,0.0,Baixo,Baixo,0.998942114507838,0.998942114507838,0.0008896114055188,0.0001341659422135,3.410814442951742e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,PINA,29195,0,0.0,Baixo,Baixo,0.9998973670429184,0.9998973670429184,8.820326966573615e-05,1.1390748184726094e-05,3.038939231242912e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,POCO,5542,0,0.0,Baixo,Baixo,0.9995711720876216,0.9995711720876216,0.0003680477485759,4.883269637278399e-05,1.194746742975851e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
